2605 24944
26 1161 -5.652489180268651
26 584 -5.652489180268651
26 1179 -5.652489180268651
26 257 -4.266194819148760
26 1185 -5.652489180268651
26 1198 -5.652489180268651
26 1213 -4.959341999708705
26 1216 -4.959341999708705
26 1232 -5.652489180268651
26 1272 -5.652489180268651
26 1283 -5.652489180268651
26 994 -4.959341999708705
26 1135 -5.652489180268651
26 146 -5.652489180268651
26 715 -5.652489180268651
26 1320 -5.652489180268651
26 1325 -5.652489180268651
26 1006 -4.959341999708705
26 1335 -5.652489180268651
26 1339 -5.652489180268651
26 1348 -5.652489180268651
26 1359 -5.652489180268651
26 1398 -4.553876891600541
26 1411 -5.652489180268651
26 796 -5.652489180268651
26 750 -4.959341999708705
26 1039 -4.266194819148760
26 1375 -4.959341999708705
26 1481 -4.959341999708705
26 1488 -5.652489180268651
26 1492 -5.652489180268651
26 137 -5.652489180268651
26 972 -3.860729711040596
26 1513 -5.652489180268651
26 1528 -4.553876891600541
26 1530 -5.652489180268651
26 572 -4.266194819148760
26 1552 -5.652489180268651
26 1557 -5.652489180268651
26 245 -4.959341999708705
26 1574 -5.652489180268651
26 372 -4.959341999708705
26 1609 -5.652489180268651
26 351 -5.652489180268651
26 178 -5.652489180268651
26 1632 -5.652489180268651
26 1634 -5.652489180268651
26 180 -5.652489180268651
26 1652 -5.652489180268651
26 1660 -5.652489180268651
26 1663 -5.652489180268651
26 1068 -5.652489180268651
26 1679 -4.553876891600541
26 1700 -5.652489180268651
26 1708 -4.959341999708705
26 1725 -5.652489180268651
26 1742 -5.652489180268651
26 1761 -5.652489180268651
26 214 -4.959341999708705
26 145 -4.959341999708705
26 1783 -5.652489180268651
26 1805 -5.652489180268651
26 325 -5.652489180268651
26 1823 -5.652489180268651
26 1848 -5.652489180268651
26 1646 -5.652489180268651
26 1854 -5.652489180268651
26 88 -4.553876891600541
26 216 -5.652489180268651
26 1912 -5.652489180268651
26 1932 -5.652489180268651
26 1934 -5.652489180268651
26 825 -4.959341999708705
26 948 -5.652489180268651
26 1965 -4.959341999708705
26 1966 -5.652489180268651
26 1974 -5.652489180268651
26 1914 -5.652489180268651
26 2053 -5.652489180268651
26 503 -4.959341999708705
26 2063 -5.652489180268651
26 2084 -5.652489180268651
26 2086 -5.652489180268651
26 1668 -5.652489180268651
26 1070 -4.959341999708705
26 2100 -5.652489180268651
26 1628 -5.652489180268651
26 2167 -5.652489180268651
26 1409 -5.652489180268651
26 2170 -5.652489180268651
26 128 -5.652489180268651
26 2189 -5.652489180268651
26 2213 -5.652489180268651
26 2257 -4.959341999708705
26 2278 -5.652489180268651
26 1302 -5.652489180268651
26 2297 -5.652489180268651
26 2310 -5.652489180268651
26 2237 -5.652489180268651
26 723 -5.652489180268651
26 2367 -5.652489180268651
26 2386 -5.652489180268651
26 2413 -5.652489180268651
26 807 -5.652489180268651
26 2408 -5.652489180268651
26 71 -5.652489180268651
26 394 -5.652489180268651
26 2483 -5.652489180268651
26 1094 -5.652489180268651
26 2508 -5.652489180268651
26 1007 -5.652489180268651
26 2544 -5.652489180268651
26 1084 -5.652489180268651
26 2562 -5.652489180268651
26 163 -5.652489180268651
26 744 -5.652489180268651
26 335 -5.652489180268651
27 28 -1.098612288668110
27 34 -1.098612288668110
27 29 -1.098612288668110
28 29 0.000000000000000
29 18 -2.194371508353813
29 49 -2.744417845273085
29 23 -3.373026504695459
29 78 -2.508029067208854
29 56 -3.085344432243678
29 26 -5.857933154483459
29 12 -2.562096288479130
29 150 -6.551080335043404
29 181 -5.857933154483459
29 215 -6.551080335043404
29 239 -5.164785973923514
29 281 -5.857933154483459
29 286 -4.471638793363569
29 7 -3.986130977581868
29 169 -3.218875824868201
29 35 -4.153185062245034
29 335 -5.857933154483459
29 113 -4.471638793363569
29 353 -5.857933154483459
29 84 -3.606641355876964
29 114 -5.857933154483459
29 381 -6.551080335043404
29 79 -4.759320865815349
29 34 -3.660708577147240
29 110 -4.941642422609304
29 262 -5.857933154483459
29 76 -4.353855757707185
29 198 -5.452468046375294
29 195 -3.986130977581868
29 167 -4.153185062245034
29 147 -4.353855757707185
29 11 -4.605170185988091
29 714 -6.551080335043404
29 379 -6.551080335043404
29 446 -5.164785973923514
29 143 -3.986130977581868
29 765 -5.857933154483459
29 15 -5.452468046375294
29 817 -4.941642422609304
29 823 -5.452468046375294
29 819 -6.551080335043404
29 22 -4.471638793363569
29 223 -6.551080335043404
29 303 -5.452468046375294
29 152 -6.551080335043404
29 867 -6.551080335043404
29 581 -3.506557897319981
29 822 -5.452468046375294
29 311 -5.857933154483459
29 390 -4.153185062245034
29 4 -5.857933154483459
29 1003 -5.452468046375294
29 161 -5.857933154483459
29 659 -5.857933154483459
29 1050 -5.452468046375294
29 559 -5.452468046375294
29 338 -5.452468046375294
29 173 -5.857933154483459
29 31 -5.164785973923514
29 687 -6.551080335043404
29 1180 -6.551080335043404
29 52 -5.452468046375294
29 1290 -6.551080335043404
29 737 -6.551080335043404
29 571 -5.857933154483459
29 633 -6.551080335043404
29 935 -6.551080335043404
29 8 -4.941642422609304
29 1366 -6.551080335043404
29 1401 -6.551080335043404
29 383 -6.551080335043404
29 336 -6.551080335043404
29 879 -3.555348061489414
29 196 -5.452468046375294
29 266 -6.551080335043404
29 318 -6.551080335043404
29 363 -6.551080335043404
29 91 -5.857933154483459
29 434 -5.452468046375294
29 370 -5.857933154483459
29 300 -5.857933154483459
29 1649 -6.551080335043404
29 291 -5.857933154483459
29 1226 -6.551080335043404
29 1267 -6.551080335043404
29 288 -6.551080335043404
29 243 -6.551080335043404
29 409 -6.551080335043404
29 371 -6.551080335043404
29 104 -6.551080335043404
29 528 -6.551080335043404
29 334 -6.551080335043404
29 1019 -6.551080335043404
29 68 -5.164785973923514
29 138 -5.164785973923514
29 294 -5.857933154483459
29 117 -6.551080335043404
29 344 -6.551080335043404
29 2050 -6.551080335043404
29 166 -4.941642422609304
29 267 -6.551080335043404
29 1421 -5.857933154483459
29 130 -6.551080335043404
29 2182 -6.551080335043404
29 540 -6.551080335043404
29 904 -6.551080335043404
29 1458 -6.551080335043404
29 745 -6.551080335043404
29 1037 -6.551080335043404
29 205 -6.551080335043404
29 418 -6.551080335043404
29 51 -6.551080335043404
29 13 -6.551080335043404
29 718 -6.551080335043404
29 2294 -6.551080335043404
29 507 -6.551080335043404
29 828 -5.164785973923514
29 866 -6.551080335043404
29 982 -6.551080335043404
29 324 -6.551080335043404
29 420 -6.551080335043404
29 1119 -6.551080335043404
30 31 -1.558144618046550
30 94 -2.944438979166440
30 103 -2.944438979166440
30 110 -1.152679509938385
30 23 -2.944438979166440
30 147 -2.944438979166440
30 1542 -2.944438979166440
30 744 -2.944438979166440
30 2314 -2.944438979166440
30 49 -2.944438979166440
30 22 -2.944438979166440
31 23 -1.845826690498331
31 49 -0.980829253011726
31 226 -4.330733340286331
31 642 -5.023880520846276
31 425 -5.023880520846276
31 10 -3.637586159726386
31 910 -5.023880520846276
31 223 -5.023880520846276
31 547 -5.023880520846276
31 477 -5.023880520846276
31 56 -3.232121051618221
31 54 -5.023880520846276
31 26 -3.925268232178166
31 8 -4.330733340286331
31 1447 -3.925268232178166
31 246 -5.023880520846276
31 117 -5.023880520846276
31 336 -5.023880520846276
31 1665 -5.023880520846276
31 114 -5.023880520846276
31 1250 -5.023880520846276
31 29 -3.637586159726386
31 1811 -5.023880520846276
31 1808 -5.023880520846276
31 96 -5.023880520846276
31 167 -5.023880520846276
31 962 -5.023880520846276
31 72 -3.925268232178166
31 4 -5.023880520846276
31 916 -5.023880520846276
31 879 -5.023880520846276
31 143 -5.023880520846276
31 683 -5.023880520846276
31 18 -5.023880520846276
31 1479 -5.023880520846276
31 300 -4.330733340286331
31 532 -4.330733340286331
31 334 -5.023880520846276
31 138 -3.414442608412176
31 305 -5.023880520846276
31 217 -5.023880520846276
31 68 -5.023880520846276
31 1432 -5.023880520846276
31 589 -5.023880520846276
31 12 -5.023880520846276
31 2479 -5.023880520846276
31 2566 -5.023880520846276
31 1693 -5.023880520846276
32 33 0.000000000000000
33 10 -3.020424886144363
33 54 -1.921812597476253
33 141 -3.713572066704308
33 173 -4.406719247264253
33 25 -2.008823974465883
33 57 -4.406719247264253
33 34 -2.327277705584418
33 51 -3.713572066704308
33 70 -3.713572066704308
33 22 -2.614959778036198
33 205 -3.713572066704308
33 225 -4.406719247264253
33 147 -3.308106958596143
33 29 -3.308106958596143
33 49 -3.308106958596143
33 286 -4.406719247264253
33 243 -3.713572066704308
33 26 -3.713572066704308
33 515 -4.406719247264253
33 718 -4.406719247264253
33 4 -4.406719247264253
33 353 -4.406719247264253
33 104 -3.713572066704308
33 159 -4.406719247264253
33 169 -4.406719247264253
33 15 -3.020424886144363
33 252 -4.406719247264253
33 200 -4.406719247264253
33 12 -4.406719247264253
33 2586 -4.406719247264253
34 35 -4.672828834461907
34 45 -6.464588303689961
34 57 -5.365976015021851
34 109 -6.464588303689961
34 120 -6.464588303689961
34 127 -6.464588303689961
34 165 -6.464588303689961
34 22 -5.078293942570070
34 198 -5.078293942570070
34 214 -6.464588303689961
34 31 -5.771441123130016
34 233 -6.464588303689961
34 258 -6.464588303689961
34 11 -6.464588303689961
34 321 -6.464588303689961
34 56 -3.825530974074703
34 18 -3.063390922027806
34 49 -2.881069365233851
34 399 -6.464588303689961
34 370 -4.855150391255861
34 68 -4.855150391255861
34 415 -6.464588303689961
34 430 -6.464588303689961
34 438 -6.464588303689961
34 471 -6.464588303689961
34 486 -6.464588303689961
34 498 -6.464588303689961
34 267 -5.771441123130016
34 446 -6.464588303689961
34 530 -6.464588303689961
34 540 -6.464588303689961
34 550 -5.771441123130016
34 581 -4.855150391255861
34 23 -3.756538102587751
34 156 -5.365976015021851
34 196 -4.518678154634648
34 39 -5.365976015021851
34 597 -5.365976015021851
34 623 -6.464588303689961
34 629 -5.771441123130016
34 96 -6.464588303689961
34 25 -5.771441123130016
34 51 -4.672828834461907
34 657 -6.464588303689961
34 113 -4.855150391255861
34 145 -5.771441123130016
34 110 -4.855150391255861
34 685 -6.464588303689961
34 4 -5.771441123130016
34 195 -5.078293942570070
34 696 -5.771441123130016
34 388 -6.464588303689961
34 712 -5.771441123130016
34 143 -3.691999581450180
34 723 -6.464588303689961
34 746 -6.464588303689961
34 757 -5.771441123130016
34 774 -6.464588303689961
34 262 -5.365976015021851
34 220 -5.771441123130016
34 12 -4.267363726353741
34 374 -6.464588303689961
34 621 -6.464588303689961
34 801 -6.464588303689961
34 815 -6.464588303689961
34 819 -6.464588303689961
34 303 -5.771441123130016
34 7 -5.365976015021851
34 863 -6.464588303689961
34 878 -6.464588303689961
34 114 -4.385146762010125
34 765 -5.771441123130016
34 434 -6.464588303689961
34 26 -4.855150391255861
34 881 -6.464588303689961
34 904 -6.464588303689961
34 239 -5.771441123130016
34 70 -6.464588303689961
34 729 -5.771441123130016
34 914 -6.464588303689961
34 554 -6.464588303689961
34 390 -4.855150391255861
34 935 -6.464588303689961
34 953 -6.464588303689961
34 822 -6.464588303689961
34 975 -6.464588303689961
34 514 -6.464588303689961
34 54 -5.078293942570070
34 991 -5.078293942570070
34 799 -5.771441123130016
34 817 -5.365976015021851
34 366 -5.771441123130016
34 1036 -6.464588303689961
34 15 -5.771441123130016
34 1040 -6.464588303689961
34 1053 -5.771441123130016
34 183 -5.771441123130016
34 1074 -6.464588303689961
34 111 -6.464588303689961
34 76 -4.855150391255861
34 254 -6.464588303689961
34 1103 -6.464588303689961
34 1107 -6.464588303689961
34 1111 -6.464588303689961
34 1116 -6.464588303689961
34 1129 -6.464588303689961
34 1156 -6.464588303689961
34 377 -6.464588303689961
34 551 -6.464588303689961
34 1085 -6.464588303689961
34 305 -6.464588303689961
34 172 -6.464588303689961
34 1049 -6.464588303689961
34 1190 -6.464588303689961
34 1191 -6.464588303689961
34 10 -3.825530974074703
34 1215 -6.464588303689961
34 1226 -6.464588303689961
34 1235 -6.464588303689961
34 547 -5.365976015021851
34 138 -5.771441123130016
34 1108 -5.771441123130016
34 1299 -6.464588303689961
34 174 -6.464588303689961
34 1052 -4.855150391255861
34 336 -5.078293942570070
34 144 -6.464588303689961
34 970 -6.464588303689961
34 1363 -6.464588303689961
34 1369 -6.464588303689961
34 204 -5.771441123130016
34 1381 -6.464588303689961
34 1393 -6.464588303689961
34 767 -6.464588303689961
34 1416 -6.464588303689961
34 1421 -6.464588303689961
34 322 -6.464588303689961
34 314 -6.464588303689961
34 1429 -6.464588303689961
34 1430 -6.464588303689961
34 1431 -6.464588303689961
34 330 -5.771441123130016
34 450 -6.464588303689961
34 1435 -5.771441123130016
34 518 -4.066693030891591
34 1466 -6.464588303689961
34 77 -4.385146762010125
34 1365 -5.771441123130016
34 508 -5.365976015021851
34 1483 -6.464588303689961
34 552 -6.464588303689961
34 538 -6.464588303689961
34 1494 -5.771441123130016
34 1508 -6.464588303689961
34 1516 -6.464588303689961
34 1521 -6.464588303689961
34 30 -6.464588303689961
34 1553 -6.464588303689961
34 1217 -6.464588303689961
34 982 -6.464588303689961
34 460 -5.078293942570070
34 559 -5.771441123130016
34 1305 -6.464588303689961
34 288 -6.464588303689961
34 1586 -6.464588303689961
34 1592 -6.464588303689961
34 1605 -6.464588303689961
34 1611 -5.771441123130016
34 409 -5.771441123130016
34 1617 -6.464588303689961
34 650 -5.771441123130016
34 1641 -6.464588303689961
34 1653 -6.464588303689961
34 1661 -6.464588303689961
34 1201 -6.464588303689961
34 1689 -6.464588303689961
34 1698 -6.464588303689961
34 244 -6.464588303689961
34 1702 -6.464588303689961
34 1164 -5.771441123130016
34 1460 -6.464588303689961
34 1753 -6.464588303689961
34 1671 -6.464588303689961
34 385 -6.464588303689961
34 19 -5.365976015021851
34 1433 -6.464588303689961
34 190 -6.464588303689961
34 879 -4.672828834461907
34 1776 -6.464588303689961
34 1464 -6.464588303689961
34 480 -6.464588303689961
34 1788 -6.464588303689961
34 1792 -6.464588303689961
34 40 -6.464588303689961
34 1380 -6.464588303689961
34 251 -6.464588303689961
34 613 -5.365976015021851
34 1157 -6.464588303689961
34 279 -6.464588303689961
34 203 -6.464588303689961
34 404 -5.771441123130016
34 1069 -6.464588303689961
34 477 -6.464588303689961
34 286 -6.464588303689961
34 158 -6.464588303689961
34 1813 -6.464588303689961
34 1876 -6.464588303689961
34 1877 -6.464588303689961
34 1885 -5.771441123130016
34 64 -6.464588303689961
34 281 -6.464588303689961
34 606 -6.464588303689961
34 205 -6.464588303689961
34 842 -6.464588303689961
34 1924 -6.464588303689961
34 1933 -5.771441123130016
34 1022 -5.771441123130016
34 1941 -6.464588303689961
34 1921 -5.771441123130016
34 485 -6.464588303689961
34 1947 -6.464588303689961
34 859 -6.464588303689961
34 36 -6.464588303689961
34 130 -6.464588303689961
34 618 -6.464588303689961
34 1986 -6.464588303689961
34 2021 -6.464588303689961
34 186 -6.464588303689961
34 272 -6.464588303689961
34 2037 -6.464588303689961
34 103 -6.464588303689961
34 2045 -6.464588303689961
34 2057 -6.464588303689961
34 998 -6.464588303689961
34 2072 -6.464588303689961
34 274 -6.464588303689961
34 2088 -6.464588303689961
34 818 -5.365976015021851
34 2098 -6.464588303689961
34 2103 -6.464588303689961
34 304 -6.464588303689961
34 1827 -6.464588303689961
34 2110 -6.464588303689961
34 2120 -6.464588303689961
34 641 -6.464588303689961
34 1669 -6.464588303689961
34 2123 -6.464588303689961
34 843 -6.464588303689961
34 2139 -6.464588303689961
34 2157 -6.464588303689961
34 300 -6.464588303689961
34 600 -6.464588303689961
34 91 -6.464588303689961
34 147 -5.771441123130016
34 2186 -6.464588303689961
34 758 -6.464588303689961
34 2202 -6.464588303689961
34 2204 -6.464588303689961
34 166 -6.464588303689961
34 1274 -6.464588303689961
34 9 -6.464588303689961
34 2234 -6.464588303689961
34 332 -6.464588303689961
34 2253 -6.464588303689961
34 521 -6.464588303689961
34 735 -5.771441123130016
34 1668 -6.464588303689961
34 1301 -6.464588303689961
34 2269 -6.464588303689961
34 1399 -6.464588303689961
34 2284 -6.464588303689961
34 2286 -6.464588303689961
34 812 -6.464588303689961
34 2298 -6.464588303689961
34 392 -5.078293942570070
34 2239 -6.464588303689961
34 1523 -6.464588303689961
34 2306 -6.464588303689961
34 131 -5.771441123130016
34 677 -6.464588303689961
34 1312 -6.464588303689961
34 2317 -6.464588303689961
34 524 -6.464588303689961
34 2318 -6.464588303689961
34 420 -6.464588303689961
34 329 -6.464588303689961
34 2338 -6.464588303689961
34 2341 -6.464588303689961
34 2111 -6.464588303689961
34 2240 -6.464588303689961
34 320 -6.464588303689961
34 2352 -6.464588303689961
34 2355 -6.464588303689961
34 2363 -6.464588303689961
34 324 -6.464588303689961
34 2370 -6.464588303689961
34 579 -6.464588303689961
34 2379 -6.464588303689961
34 1308 -6.464588303689961
34 2385 -6.464588303689961
34 2388 -6.464588303689961
34 831 -6.464588303689961
34 1568 -6.464588303689961
34 582 -6.464588303689961
34 1244 -6.464588303689961
34 179 -5.771441123130016
34 152 -6.464588303689961
34 2418 -6.464588303689961
34 2328 -6.464588303689961
34 1002 -6.464588303689961
34 1168 -6.464588303689961
34 617 -6.464588303689961
34 2448 -6.464588303689961
34 1174 -6.464588303689961
34 52 -6.464588303689961
34 731 -6.464588303689961
34 2458 -6.464588303689961
34 2463 -6.464588303689961
34 2303 -6.464588303689961
34 2105 -6.464588303689961
34 1875 -6.464588303689961
34 2487 -6.464588303689961
34 2489 -6.464588303689961
34 866 -5.771441123130016
34 744 -6.464588303689961
34 1003 -5.365976015021851
34 157 -6.464588303689961
34 1672 -6.464588303689961
34 828 -6.464588303689961
34 2520 -6.464588303689961
34 482 -6.464588303689961
34 2224 -6.464588303689961
34 1084 -6.464588303689961
34 803 -5.771441123130016
34 2551 -6.464588303689961
34 483 -6.464588303689961
34 2582 -6.464588303689961
34 2592 -6.464588303689961
34 2329 -6.464588303689961
34 825 -6.464588303689961
34 595 -6.464588303689961
35 18 -1.079380926740222
35 7 -3.536116699561526
35 15 -4.634728988229636
35 23 -3.248434627109745
35 113 -3.536116699561526
35 374 -4.634728988229636
35 458 -4.634728988229636
35 22 -3.941581807669690
35 817 -4.634728988229636
35 581 -3.248434627109745
35 10 -4.634728988229636
35 1101 -4.634728988229636
35 1113 -3.941581807669690
35 147 -4.634728988229636
35 110 -3.536116699561526
35 104 -4.634728988229636
35 198 -3.248434627109745
35 12 -3.941581807669690
35 166 -4.634728988229636
35 1092 -4.634728988229636
35 879 -2.332143895235590
35 56 -2.842969519001581
35 49 -3.248434627109745
35 2041 -4.634728988229636
35 185 -4.634728988229636
35 1651 -4.634728988229636
35 167 -4.634728988229636
35 297 -4.634728988229636
35 1220 -4.634728988229636
35 220 -4.634728988229636
35 54 -4.634728988229636
35 1625 -4.634728988229636
35 2550 -4.634728988229636
35 2565 -4.634728988229636
36 23 -1.098612288668110
36 596 -1.791759469228055
36 56 -1.791759469228055
36 251 -1.098612288668110
37 26 -3.637586159726386
37 257 -3.637586159726386
37 29 -2.944438979166440
37 54 -2.251291798606495
37 104 -2.944438979166440
37 366 -2.944438979166440
37 697 -3.637586159726386
37 529 -3.637586159726386
37 31 -3.637586159726386
37 1108 -3.637586159726386
37 109 -3.637586159726386
37 1262 -3.637586159726386
37 23 -3.637586159726386
37 15 -3.637586159726386
37 22 -2.944438979166440
37 25 -3.637586159726386
37 33 -2.944438979166440
37 10 -2.538973871058276
37 643 -3.637586159726386
37 196 -3.637586159726386
37 34 -3.637586159726386
37 2049 -3.637586159726386
37 286 -3.637586159726386
37 508 -3.637586159726386
37 333 -3.637586159726386
37 696 -3.637586159726386
37 1290 -3.637586159726386
37 1107 -3.637586159726386
38 18 -3.891820298110626
38 92 -3.891820298110626
38 163 -3.198673117550681
38 260 -3.891820298110626
38 34 -2.793208009442517
38 64 -1.493925025312256
38 674 -3.891820298110626
38 4 -3.891820298110626
38 123 -3.891820298110626
38 10 -2.505525936990736
38 514 -2.282382385676526
38 1242 -3.891820298110626
38 49 -3.891820298110626
38 1402 -3.891820298110626
38 645 -3.891820298110626
38 220 -3.198673117550681
38 1620 -3.891820298110626
38 286 -3.891820298110626
38 651 -3.891820298110626
38 29 -3.891820298110626
38 1886 -3.891820298110626
38 2109 -3.891820298110626
38 2184 -3.891820298110626
38 184 -3.891820298110626
38 1342 -3.891820298110626
38 800 -3.891820298110626
38 252 -3.891820298110626
38 2560 -3.891820298110626
39 40 -2.639057329615258
39 152 -2.271332549489941
39 86 -2.890371757896165
39 256 -4.836281906951478
39 52 -3.737669618283368
39 374 -1.745239453593162
39 618 -4.836281906951478
39 315 -3.737669618283368
39 147 -4.836281906951478
39 10 -4.143134726391533
39 388 -4.836281906951478
39 435 -4.836281906951478
39 390 -4.836281906951478
39 628 -4.836281906951478
39 71 -4.836281906951478
39 998 -4.836281906951478
39 1049 -4.836281906951478
39 1084 -4.836281906951478
39 1234 -4.836281906951478
39 602 -4.836281906951478
39 1472 -4.836281906951478
39 189 -3.044522437723423
39 263 -4.836281906951478
39 1397 -4.836281906951478
39 1541 -4.836281906951478
39 76 -4.836281906951478
39 999 -3.737669618283368
39 1563 -4.836281906951478
39 166 -4.836281906951478
39 30 -4.836281906951478
39 203 -4.836281906951478
39 1395 -4.836281906951478
39 1548 -4.836281906951478
39 759 -4.836281906951478
39 172 -3.737669618283368
39 198 -4.143134726391533
39 1908 -4.143134726391533
39 380 -4.836281906951478
39 1221 -4.836281906951478
39 1929 -4.836281906951478
39 34 -4.143134726391533
39 286 -4.836281906951478
39 525 -4.836281906951478
39 1283 -4.836281906951478
39 179 -4.836281906951478
39 1174 -4.836281906951478
39 822 -4.836281906951478
39 169 -4.836281906951478
39 1799 -4.836281906951478
39 297 -4.836281906951478
39 2343 -4.836281906951478
39 2344 -4.836281906951478
39 426 -4.836281906951478
39 303 -4.143134726391533
39 420 -4.836281906951478
39 641 -4.836281906951478
39 247 -4.836281906951478
39 409 -4.836281906951478
39 677 -4.836281906951478
39 1360 -4.836281906951478
39 1065 -4.836281906951478
40 23 -2.277267285009756
40 15 -3.663561646129646
40 49 -2.970414465569701
40 56 -2.054123733695546
40 239 -3.663561646129646
40 223 -3.663561646129646
40 765 -3.663561646129646
40 72 -2.054123733695546
40 184 -3.663561646129646
40 84 -3.663561646129646
40 12 -2.970414465569701
40 79 -2.564949357461536
40 113 -2.277267285009756
40 383 -3.663561646129646
40 161 -3.663561646129646
40 10 -3.663561646129646
40 480 -3.663561646129646
40 1006 -3.663561646129646
40 521 -3.663561646129646
40 159 -3.663561646129646
40 409 -3.663561646129646
41 42 -1.386294361119891
41 1072 -1.386294361119891
41 1355 -1.386294361119891
41 1917 -1.386294361119891
42 10 -1.098612288668110
42 252 -1.098612288668110
42 29 -1.098612288668110
43 44 -2.079441541679836
43 870 -1.386294361119890
43 34 -2.079441541679836
43 68 -2.079441541679836
43 29 -2.079441541679836
43 771 -2.079441541679836
43 537 -2.079441541679836
44 34 0.000000000000000
45 4 0.000000000000000
46 25 0.000000000000000
47 48 -1.098612288668110
47 1980 -1.098612288668110
47 10 -1.098612288668110
48 29 0.000000000000000
49 50 -7.045776576879511
49 69 -7.045776576879511
49 71 -5.947164288211401
49 105 -4.212563232823295
49 137 -4.480827219417975
49 142 -7.045776576879511
49 146 -4.212563232823295
49 148 -7.045776576879511
49 155 -7.045776576879511
49 197 -7.045776576879511
49 227 -7.045776576879511
49 238 -4.212563232823295
49 255 -7.045776576879511
49 250 -7.045776576879511
49 264 -7.045776576879511
49 289 -7.045776576879511
49 9 -4.966335035199675
49 293 -7.045776576879511
49 309 -5.947164288211401
49 312 -5.947164288211401
49 306 -5.436338664445411
49 339 -5.659482215759621
49 351 -7.045776576879511
49 357 -6.352629396319566
49 360 -4.743191483885465
49 365 -7.045776576879511
49 24 -4.848551999543291
49 220 -5.436338664445411
49 391 -4.647881304081141
49 100 -7.045776576879511
49 230 -7.045776576879511
49 402 -5.254017107651457
49 345 -6.352629396319566
49 422 -5.099866427824198
49 423 -7.045776576879511
49 358 -5.947164288211401
49 456 -2.728288463343201
49 464 -5.659482215759621
49 474 -6.352629396319566
49 478 -7.045776576879511
49 487 -7.045776576879511
49 352 -5.947164288211401
49 495 -7.045776576879511
49 281 -3.954734123521195
49 503 -4.212563232823295
49 510 -6.352629396319566
49 526 -7.045776576879511
49 353 -4.337726375777301
49 569 -5.254017107651457
49 579 -7.045776576879511
49 600 -5.099866427824198
49 139 -5.659482215759621
49 617 -7.045776576879511
49 440 -7.045776576879511
49 624 -7.045776576879511
49 550 -5.659482215759621
49 226 -7.045776576879511
49 632 -7.045776576879511
49 620 -7.045776576879511
49 37 -7.045776576879511
49 398 -5.947164288211401
49 644 -4.273187854639730
49 669 -7.045776576879511
49 673 -6.352629396319566
49 681 -7.045776576879511
49 690 -6.352629396319566
49 692 -6.352629396319566
49 700 -5.254017107651457
49 703 -7.045776576879511
49 511 -5.436338664445411
49 708 -5.659482215759621
49 716 -5.099866427824198
49 719 -7.045776576879511
49 721 -7.045776576879511
49 725 -4.050044303325521
49 38 -5.436338664445411
49 442 -6.352629396319566
49 732 -6.352629396319566
49 744 -4.560869927091511
49 760 -7.045776576879511
49 763 -3.434858664235287
49 198 -5.659482215759621
49 781 -7.045776576879511
49 788 -7.045776576879511
49 796 -5.947164288211401
49 88 -3.434858664235287
49 803 -7.045776576879511
49 328 -5.947164288211401
49 811 -7.045776576879511
49 275 -7.045776576879511
49 827 -7.045776576879511
49 834 -7.045776576879511
49 216 -6.352629396319566
49 645 -4.212563232823295
49 839 -5.947164288211401
49 846 -4.743191483885465
49 848 -7.045776576879511
49 501 -7.045776576879511
49 890 -6.352629396319566
49 176 -5.947164288211401
49 954 -7.045776576879511
49 965 -7.045776576879511
49 968 -7.045776576879511
49 971 -7.045776576879511
49 978 -7.045776576879511
49 986 -7.045776576879511
49 988 -7.045776576879511
49 33 -7.045776576879511
49 996 -7.045776576879511
49 1015 -5.659482215759621
49 714 -4.848551999543291
49 1016 -5.947164288211401
49 1024 -5.254017107651457
49 1018 -5.947164288211401
49 994 -5.099866427824198
49 1056 -6.352629396319566
49 1057 -7.045776576879511
49 221 -5.659482215759621
49 1061 -4.647881304081141
49 1062 -5.099866427824198
49 1066 -5.947164288211401
49 1067 -7.045776576879511
49 851 -5.659482215759621
49 202 -5.947164288211401
49 913 -7.045776576879511
49 1088 -7.045776576879511
49 1091 -6.352629396319566
49 1097 -7.045776576879511
49 1098 -7.045776576879511
49 1099 -7.045776576879511
49 1115 -4.337726375777301
49 469 -7.045776576879511
49 214 -5.254017107651457
49 1124 -7.045776576879511
49 670 -5.947164288211401
49 1128 -7.045776576879511
49 151 -7.045776576879511
49 1137 -5.254017107651457
49 1138 -7.045776576879511
49 1145 -5.436338664445411
49 1150 -7.045776576879511
49 1157 -5.436338664445411
49 1158 -6.352629396319566
49 364 -7.045776576879511
49 1176 -7.045776576879511
49 1184 -7.045776576879511
49 1199 -7.045776576879511
49 1218 -6.352629396319566
49 807 -5.947164288211401
49 755 -7.045776576879511
49 347 -7.045776576879511
49 1228 -5.659482215759621
49 884 -6.352629396319566
49 539 -7.045776576879511
49 1241 -6.352629396319566
49 1246 -7.045776576879511
49 1251 -6.352629396319566
49 1263 -7.045776576879511
49 535 -7.045776576879511
49 1269 -7.045776576879511
49 62 -7.045776576879511
49 636 -6.352629396319566
49 981 -5.659482215759621
49 1277 -7.045776576879511
49 587 -6.352629396319566
49 635 -6.352629396319566
49 1288 -7.045776576879511
49 1289 -7.045776576879511
49 655 -6.352629396319566
49 1309 -7.045776576879511
49 1313 -7.045776576879511
49 1144 -7.045776576879511
49 1324 -7.045776576879511
49 1297 -6.352629396319566
49 1334 -7.045776576879511
49 1341 -4.966335035199675
49 260 -7.045776576879511
49 1373 -6.352629396319566
